2026-04-12 17:21:07 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:21:07 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:24:14 | INFO     | app.main | Verath starting up...
2026-04-12 17:24:14 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:24:14 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:24:14 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:24:14 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:24:14 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:25:42 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:26:02 | INFO     | app.main | Verath starting up...
2026-04-12 17:26:02 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:26:02 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:26:02 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:26:02 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:26:02 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:26:19 | INFO     | app.main | Verath starting up...
2026-04-12 17:26:19 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:26:19 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:26:19 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:26:19 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:26:19 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:31:14 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:31:14 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:31:14 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:31:33 | INFO     | app.main | Verath starting up...
2026-04-12 17:31:33 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:31:33 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:31:33 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:31:33 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:31:33 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:31:37 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:31:37 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:31:37 | INFO     | app.workers.background_worker | Background worker shutting down
